id,value
id_0,25.5446135153
id_1,60.9101202427
id_2,19.9685861328
id_3,27.0005610292
id_4,8.73807557311
id_5,33.0917785027
id_6,40.5715688562
id_7,17.1523427037
id_8,47.9890142311
id_9,31.1179218449
id_10,38.4674582844
id_11,59.0123702807
id_12,33.5682446523
id_13,40.3300834508
id_14,24.3791447896
id_15,16.2329841611
id_16,48.7870896554
id_17,23.0727345705
id_18,15.1290068705
id_19,16.7757523059
id_20,15.3924183612
id_21,28.9221921129
id_22,38.6398130032
id_23,12.6608871787
id_24,61.8081151879
id_25,46.6170360531
id_26,27.3726029366
id_27,7.33392688562
id_28,29.7357410862
id_29,36.4710517384
id_30,15.4073747465
id_31,10.655308144
id_32,17.3425769583
id_33,6.98965824271
id_34,15.34868818
id_35,39.8888686882
id_36,19.1721293804
id_37,26.8701511004
id_38,9.40485177672
id_39,61.4230585706
id_40,49.1362501405
id_41,24.9330942202
id_42,51.0685671117
id_43,18.5803482667
id_44,46.5307254393
id_45,50.874206921
id_46,58.5920814487
id_47,40.4124349329
id_48,56.1297574237
id_49,40.1501511436
id_50,28.8596778189
id_51,22.4907936315
id_52,39.241491762
id_53,22.9110216225
id_54,37.7660125527
id_55,39.5967965098
id_56,23.7516818647
id_57,21.1386046339
id_58,35.9175324858
id_59,31.5113004539
id_60,13.7986143635
id_61,22.0584118883
id_62,31.9297021503
id_63,55.2881527925
id_64,51.7209381357
id_65,25.1728855688
id_66,40.181783782
id_67,53.8814752577
id_68,27.217104654
id_69,36.9320590361
id_70,65.4404106701
id_71,54.1671412408
id_72,44.4760038601
id_73,15.8918317428
id_74,11.8920890024
id_75,36.7653688996
id_76,64.9946441973
id_77,3.46813861138
id_78,40.949761573
id_79,38.81337437
id_80,8.91646842192
id_81,22.7335442676
id_82,5.8600225048
id_83,32.260211867
id_84,8.91608395692
id_85,6.89955621836
id_86,16.8009945378
id_87,11.9886700173
id_88,17.7351886206
id_89,24.5119592255
id_90,34.3317074255
id_91,10.1824035478
id_92,13.0891990299
id_93,9.5636222279
id_94,37.7157333994
id_95,16.275860576
id_96,16.8794387301
id_97,9.02572851215
id_98,9.86756030112
id_99,6.24173021125
id_100,11.2345181691
id_101,19.3505002763
id_102,12.589644778
id_103,8.67388034503
id_104,12.4067481191
id_105,36.8843577735
id_106,25.92466891
id_107,7.93392456943
id_108,16.2200875631
id_109,15.9962056011
id_110,11.9417182685
id_111,13.6005417148
id_112,16.4472771428
id_113,25.8633664437
id_114,16.1888676986
id_115,15.4783694029
id_116,4.8298650233
id_117,44.3545895554
id_118,27.2680673094
id_119,1.68094095437
id_120,-2.04213197403
id_121,10.2762022435
id_122,14.2016549642
id_123,12.5273366757
id_124,9.43686365883
id_125,25.7087606679
id_126,21.2606320585
id_127,9.83831605634
id_128,19.2553719445
id_129,11.3420784802
id_130,-2.64073444564
id_131,33.90418554
id_132,13.3372759571
id_133,21.7034511003
id_134,25.1100712709
id_135,23.6552423688
id_136,10.3147523655
id_137,22.4220119109
id_138,80.3878549849
id_139,54.2222001033
id_140,26.4694888281
id_141,17.6057226182
id_142,24.6141553601
id_143,7.04464044704
id_144,11.843827675
id_145,10.7760103125
id_146,17.4934930225
id_147,6.34225928595
id_148,14.1604188911
id_149,13.4638551381
id_150,46.4100877747
id_151,20.951356428
id_152,21.5139498693
id_153,14.511236096
id_154,15.6883302907
id_155,23.4655538895
id_156,24.423303813
id_157,36.6970256404
id_158,5.19509044933
id_159,22.6577984824
id_160,42.7034084771
id_161,19.1526975215
id_162,62.051086845
id_163,16.8287491074
id_164,35.1044352892
id_165,24.0801304385
id_166,20.1756926094
id_167,1.9409367285
id_168,69.7538058183
id_169,17.8089768472
id_170,15.2953895771
id_171,75.7647551551
id_172,18.6644162257
id_173,2.95852911314
id_174,25.7680689037
id_175,1.44733132524
id_176,9.76114491423
id_177,21.4964811673
id_178,20.9975860952
id_179,25.0017547305
id_180,44.1672508697
id_181,31.1882227319
id_182,27.7088792075
id_183,13.6806889049
id_184,5.83000832977
id_185,43.1419905121
id_186,36.2845469855
id_187,35.2744406425
id_188,17.2250144396
id_189,23.8249884931
id_190,14.1146277288
id_191,14.6351008447
id_192,30.7780279079
id_193,80.6104018006
id_194,26.5414896171
id_195,11.2725443227
id_196,62.8545464061
id_197,16.4972613617
id_198,20.6297615108
id_199,21.7733310159
id_200,151.978854709
id_201,23.604586902
id_202,57.7125177244
id_203,7.73084010051
id_204,63.0992072746
id_205,34.5676581454
id_206,14.1761937505
id_207,13.5012141993
id_208,63.1260336694
id_209,14.9723150705
id_210,33.5645663741
id_211,73.6292563111
id_212,20.2359470068
id_213,108.952626272
id_214,40.5761596313
id_215,77.0937719807
id_216,102.71029231
id_217,75.4669781449
id_218,27.3590516245
id_219,19.4422017167
id_220,31.2526417004
id_221,57.5916183209
id_222,27.6600756091
id_223,39.9393965081
id_224,42.7708469636
id_225,9.08220499597
id_226,4.38833206239
id_227,75.5160812155
id_228,29.5573927529
id_229,1.38425063684
id_230,40.6553157007
id_231,13.8133276441
id_232,22.4449249715
id_233,6.88451921456
id_234,13.4993937473
id_235,23.7319439072
id_236,13.1918460173
id_237,4.92453910753
id_238,22.3049752776
id_239,9.76832285085
