id,value
id_0,25.828399608
id_1,62.5217856023
id_2,20.8495781237
id_3,27.749757282
id_4,9.91637249356
id_5,34.0110368509
id_6,41.6676318257
id_7,17.6374027106
id_8,48.1957962547
id_9,31.0342360682
id_10,39.0893990856
id_11,56.9029699396
id_12,34.8574266717
id_13,40.8740735427
id_14,25.1130840313
id_15,16.5693483924
id_16,49.8959878645
id_17,22.9528349501
id_18,15.399619648
id_19,16.6385596373
id_20,14.9352834545
id_21,30.4304709376
id_22,38.9438337083
id_23,12.9725126394
id_24,62.6633887565
id_25,46.333167023
id_26,29.3079318015
id_27,7.01965571151
id_28,29.5095218763
id_29,37.4768368812
id_30,16.011262454
id_31,11.4275163075
id_32,17.466491583
id_33,6.60786936127
id_34,15.6082258141
id_35,40.9948119969
id_36,19.264072036
id_37,26.4625255656
id_38,8.37479842245
id_39,59.9352688723
id_40,47.6353309703
id_41,26.0498094667
id_42,51.8714838162
id_43,18.3993356279
id_44,44.769164968
id_45,51.1526678604
id_46,58.3382768041
id_47,41.901474172
id_48,55.765315768
id_49,40.8464941013
id_50,29.157201581
id_51,22.7253722006
id_52,39.6673231977
id_53,22.816760624
id_54,38.4402515425
id_55,40.7678601342
id_56,23.7185104862
id_57,21.9998815031
id_58,36.846506715
id_59,31.5053813
id_60,14.5653124331
id_61,24.1240614352
id_62,31.5347311012
id_63,54.5371850996
id_64,51.3981114436
id_65,26.5786192355
id_66,39.1723028237
id_67,54.8057995138
id_68,27.4182672786
id_69,37.8058257871
id_70,65.5546658586
id_71,54.7948890312
id_72,43.260890177
id_73,15.5331711631
id_74,13.0480426001
id_75,35.847684681
id_76,66.5169397974
id_77,2.06433621417
id_78,40.209995728
id_79,38.8760298573
id_80,9.31079584276
id_81,23.5610674281
id_82,6.66566824487
id_83,33.5544159205
id_84,10.5024311409
id_85,7.51367991913
id_86,17.2404846347
id_87,11.8025925543
id_88,18.3208082209
id_89,25.6520712816
id_90,33.2704942797
id_91,10.3241518441
id_92,13.7669842701
id_93,9.91804774667
id_94,38.6500607826
id_95,17.0606107026
id_96,17.2061950435
id_97,8.97452758786
id_98,10.8815103393
id_99,5.85531234245
id_100,11.3208433031
id_101,18.1720974579
id_102,12.6272816592
id_103,8.15366200548
id_104,12.8555047137
id_105,36.5031059564
id_106,24.4991187953
id_107,8.03892980524
id_108,16.7343049874
id_109,16.0379428884
id_110,12.2956791887
id_111,14.634565246
id_112,16.5337678825
id_113,25.9032969611
id_114,16.9646983936
id_115,16.064339875
id_116,4.90030989233
id_117,43.8042012592
id_118,27.4512588213
id_119,1.93509112356
id_120,-0.448945119047
id_121,10.355517235
id_122,14.0174222258
id_123,12.6478522211
id_124,9.19173793376
id_125,25.5937993861
id_126,20.2602568903
id_127,10.1238273997
id_128,18.6628472391
id_129,10.1028856598
id_130,-2.18431156853
id_131,34.4219750562
id_132,14.7984674351
id_133,21.615037648
id_134,25.6685378198
id_135,22.6507521826
id_136,10.0564084927
id_137,22.5221273537
id_138,78.8321594186
id_139,57.3933008675
id_140,26.5702987903
id_141,17.0492913086
id_142,24.8543710258
id_143,6.98735195043
id_144,11.4169005796
id_145,11.5866982583
id_146,18.1962705288
id_147,6.47884647154
id_148,12.8138176873
id_149,14.8399965711
id_150,43.9670939258
id_151,21.2931373036
id_152,22.7444533459
id_153,13.9718730127
id_154,15.5956990327
id_155,23.942304781
id_156,22.9848017036
id_157,37.2894982214
id_158,4.95681301687
id_159,22.5979308498
id_160,41.4344559908
id_161,19.6180700437
id_162,63.4202338689
id_163,17.3279535281
id_164,35.2215827309
id_165,24.5568453049
id_166,22.3210347601
id_167,2.35355836391
id_168,67.6287006716
id_169,16.1424287829
id_170,16.3549959923
id_171,74.1941450341
id_172,19.3495035087
id_173,2.80236673919
id_174,24.4153861154
id_175,0.927974088999
id_176,9.49284567015
id_177,19.4637526146
id_178,20.0951859815
id_179,23.9356645643
id_180,44.3824174973
id_181,32.2040980597
id_182,28.0309287434
id_183,13.4954138885
id_184,6.08661747129
id_185,43.3743529302
id_186,36.3859915205
id_187,35.9683767413
id_188,17.6301579118
id_189,23.4047862079
id_190,14.2343754925
id_191,15.3960721694
id_192,31.3306025768
id_193,77.5258304614
id_194,26.8683826107
id_195,12.1355825965
id_196,63.8168153824
id_197,16.4185383526
id_198,20.832000277
id_199,20.6409975999
id_200,141.402477854
id_201,24.8850263063
id_202,56.9173169871
id_203,7.98400423078
id_204,61.4517557062
id_205,34.6656128712
id_206,15.2799389796
id_207,15.0151280527
id_208,62.6088697868
id_209,14.7909558519
id_210,33.0834088119
id_211,73.7419012325
id_212,19.8427456816
id_213,107.231020957
id_214,40.5856810269
id_215,76.3040566176
id_216,96.8272289719
id_217,76.2816274492
id_218,27.5025293872
id_219,18.4389210117
id_220,31.7983047558
id_221,59.3563970361
id_222,28.4250556639
id_223,39.3948245488
id_224,42.9316777116
id_225,8.93040502759
id_226,3.9490273581
id_227,74.9497740295
id_228,29.9556271071
id_229,0.95168763473
id_230,40.1772299062
id_231,14.220446524
id_232,22.5186202942
id_233,8.14712929968
id_234,15.5845375483
id_235,24.4472552511
id_236,12.6975447047
id_237,4.94843313044
id_238,22.7923009035
id_239,8.65043723307
